Параметр,Значение,Процент

Всего функций,330,100.0%
Активные,22,6.7%
Спящие,289,87.6%
Работающие,19,5.8%

Критические функции,262,79.4%
Автоматически включаемые,6,1.8%
Экстренное пробуждение,261,79.1%

ТИПЫ ФУНКЦИЙ
unknown,208,63.0%
manager,24,7.3%
ai_agent,23,7.0%
bot,20,6.1%
security,19,5.8%
security_bot,8,2.4%
security_system,8,2.4%
service,7,2.1%
family_component,5,1.5%
monitoring,3,0.9%
preliminary,1,0.3%
validation,1,0.3%
reporting,1,0.3%
management,1,0.3%
security_manager,1,0.3%

УРОВНИ БЕЗОПАСНОСТИ
medium,290,87.9%
high,34,10.3%
critical,5,1.5%
low,1,0.3%
